draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
342,2019/11/8,3,6,24,28,32,35,36,4,8,164,176,2,5
343,2019/11/15,17,19,22,29,30,31,32,11,16,180,207,4,3
344,2019/11/22,11,19,28,29,31,32,37,12,21,187,220,5,2
345,2019/11/29,6,9,10,18,28,31,32,24,35,134,193,2,5
346,2019/12/6,11,16,18,23,30,31,35,3,27,164,194,4,3
347,2019/12/13,3,6,11,13,18,20,34,25,35,105,165,3,4
348,2019/12/20,2,5,17,18,19,20,33,1,24,114,139,4,3
349,2019/12/27,4,10,11,15,18,22,34,16,32,114,162,2,5
350,2020/1/10,10,19,21,23,24,30,37,2,28,164,194,4,3
351,2020/1/17,8,13,17,19,23,25,28,5,16,133,154,5,2
352,2020/1/24,3,4,14,18,26,30,32,28,34,127,189,1,6
353,2020/1/31,11,15,22,23,24,29,33,19,34,157,210,5,2
354,2020/2/7,1,2,8,10,13,25,31,23,35,90,148,4,3
355,2020/2/14,4,6,9,10,23,27,33,14,31,112,157,4,3
356,2020/2/21,4,16,20,30,33,34,36,19,21,173,213,1,6
357,2020/2/28,5,8,12,13,14,24,30,27,35,106,168,2,5
358,2020/3/6,5,13,14,26,32,33,34,8,11,157,176,3,4
359,2020/3/13,4,7,11,17,19,26,35,1,24,119,144,5,2
360,2020/3/20,9,11,13,14,20,22,37,15,17,126,158,4,3
361,2020/3/27,5,9,16,20,29,33,35,2,8,147,157,5,2
362,2020/4/3,4,7,8,14,22,24,27,13,26,106,145,2,5
363,2020/4/10,13,15,17,22,26,34,36,3,19,163,185,3,4
364,2020/4/17,3,9,10,14,16,20,27,19,33,99,151,3,4
365,2020/4/24,1,4,13,14,16,22,35,10,23,105,138,3,4
366,2020/5/1,10,24,25,26,27,33,36,4,23,181,208,3,4
367,2020/5/8,8,14,19,20,29,30,31,7,35,151,193,3,4
368,2020/5/15,7,8,9,13,21,34,35,3,20,127,150,5,2
369,2020/5/22,1,7,9,11,15,31,34,6,33,108,147,6,1
370,2020/5/29,7,10,16,25,26,33,34,24,35,151,210,3,4
371,2020/6/5,1,3,4,8,11,21,25,12,23,73,108,5,2
372,2020/6/12,6,8,22,23,32,33,36,9,27,160,196,2,5
373,2020/6/19,2,3,17,18,22,23,31,4,30,116,150,4,3
374,2020/6/26,4,5,9,10,18,27,35,15,34,108,157,4,3
375,2020/7/3,13,15,18,19,23,27,32,34,35,147,216,5,2
376,2020/7/10,6,11,14,17,23,31,37,10,15,139,164,5,2
377,2020/7/17,6,7,10,17,25,33,36,27,32,134,193,4,3
378,2020/7/24,1,5,9,10,14,15,29,20,28,83,131,5,2
379,2020/7/31,3,8,15,22,24,29,35,18,26,136,180,4,3
380,2020/8/7,8,14,24,25,32,34,36,13,16,173,202,1,6
381,2020/8/14,4,8,25,26,27,31,32,9,22,153,184,3,4
382,2020/8/21,2,3,5,8,19,22,37,16,28,96,140,4,3
383,2020/8/28,8,11,15,22,26,28,30,10,20,140,170,2,5
384,2020/9/4,3,7,15,18,26,30,31,9,33,130,172,4,3
385,2020/9/11,4,12,14,24,29,34,35,5,15,152,172,2,5
386,2020/9/18,9,19,22,32,35,36,37,7,21,190,218,4,3
387,2020/9/25,3,7,13,22,30,32,37,14,15,144,173,4,3
388,2020/10/2,1,6,8,10,18,21,32,13,28,96,137,2,5
389,2020/10/9,1,6,11,13,18,24,27,17,23,100,140,4,3
